ID,Tópico,Categoria,Titulo,Texto,Imagem_1,Legenda_1,Imagem_2,Legenda_2,Imagem_3,Legenda_3,Imagem_4,Legenda_4,Imagem_5,Legenda_5
,1,Origens,Piracicaba: Terra de Pioneiros,"Piracicaba se diferencia de muitas cidades do interior de São Paulo por não ter surgido de algum ponto de descanso das caravanas bandeirantes, de uma capela ou pouso de estrada. Desde o século XVII, a fertilidade da terra e a abundância da caça e da pesca nos chamados sertões de Piracicaba e Capivari atraíram muitos pioneiros, entre posseiros e sesmeiros, que forjaram a alma empreendedora da cidade. ",00_Quadro Alberto Thomazi - Museu Prudente de Moraes.JPG,"Mudança de povoação – 1784, 1967. Alberto Thomazi. Óleo sobre tela. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,1.1,Origens,Caminhos do sertão,"No século XVII as bandeiras partiam da cidade de São Paulo rumo ao interior em busca de alternativas econômicas. No século seguinte, com a descoberta de ouro em Minas Gerais, Mato Grosso e Goiás, ganharam impulso as monções, expedições de caráter exploratório e povoador que seguiam por via fluvial para penetrar no sertão. A ocupação original de Piracicaba teve relação direta com esse movimento.","01_Almeida_Júnior_-_Partida_da_Monção,_1897 _Wikimedia.jpg","Partida da Monção, 1897. José Ferraz de Almeida Júnior. Óleo sobre tela, Acervo do Museu Paulista.",,,,,,,,
,1.1.1,Origens,A estrada é o rio,"O rio de Piracicaba/ Vai jorrar água pra fora / Quando chegar a água dos olhos de alguém que chora”... O Piracicaba é um rio cantado em prosa e verso, como a música Rio de Lágrimas, composta por Lourival dos Santos em 1970.
No século XVIII, o rio era rota fluvial para Mato Grosso e Paraná e muitas cidades nasceram às suas margens. No local onde surgiria a cidade de Piracicaba, existiam fabricantes de canoas que utilizavam a grande oferta de madeira na região.",02_Trecho_do_Mappa_da_Capitania_de_São_Paulo_c._1750.jpg,"Trecho do Mapa da Capitania de São Paulo, produzido na década de 1750, mostrando a ""Povoação Nova de Piracicaba"". 	Biblioteca Digital Luso-Brasileira.",03_Almeida_Júnior_-_Paisagem_do_Rio_Piracicaba.jpg,"Paisagem do Rio Piracicaba, data desconhecida. Óleo sobre tela. Acervo Masp.",,,,,,
,1.2,Origens,Fundação oficial,"Em 1766, o capitão-general de São Paulo, Dom Luís Antônio de Souza Botelho e Mourão, ou Morgado de Mateus, encarregou o capitão Antônio Corrêa Barbosa de fundar seis povoações ao longo do caminho para o sul, uma delas na foz do rio Piracicaba com o Tietê. Barbosa estabeleceu-se a cerca de 70 quilômetros rio acima, na margem direita, perto do salto, onde viviam vários sertanejos e índios Paiaguás e onde era mais fácil o acesso a outras vilas, principalmente Itu. 
Em 1º de agosto de 1767 era oficialmente fundada a povoação de Piracicaba, no local onde mais tarde seria erguido o Engenho Central.",03a_Antonio Corrêa Barbosa Museu Prudente de Moraes.JPG,"Archimedes Dutra. Capitão Antônio Correa Barbosa, 1967. Óleo sobre tela. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,1.2.1,Origens,Morgado de Mateus,"O nobre português Morgado de Mateus governou a Capitania de São Paulo entre 1765 e 1775, com a missão de expandir fronteiras. Foi responsável por fundar pelo menos 20 cidades no Oeste Paulista, entre elas Campinas e Piracicaba.",03b_Morgado de Mateus. Imagem da internet.jpg,Autoria desconhecida. D. Luís Antônio de Sousa Botelho Mourão. Fonte: http://pedrodaveiga.blogspot.com.br/2009/05/descoberta-dos-campos-do-mourao.html ,,,,,,,,
,1.2.2,Origens,Centro abastecedor ,"Em 1784 o povoado de Piracicaba foi transferido para o lado esquerdo do rio, de onde poderia se integrar à fronteira agrícola do Oeste Paulista. A partir daí, a região foi dominada por grandes fazendas canavieiras e pequenas propriedades voltadas ao cultivo de café, arroz, feijão, milho, algodão e fumo, além de pastagens para criação de gado.","04_Henrique_Manzo_-_Fazenda_Monte_Alegre_-_Piracicaba,_1850,_Acervo_do_Museu_Paulist.jpg","Henrique Manzo. Fazenda Monte Alegre - Piracicaba, 1850. Óleo sobre tela. Acervo Museu Paulista.",,,,,,,,
,2,Origens,Cidade de Piracicaba,"Originalmente, o povoado de Piracicaba era vinculado a Itu. Em 1774 se transformou em Freguesia de Santo Antônio de Piracicaba, contando com cerca de 230 habitantes e 45 casas. Em 1822 foi elevada à vila – Vila Nova da Constituição –, até que em 24 de abril de 1856 ganhou o status de cidade, com o nome Constituição.",04a_Mapa de 1821 - Fonte - IPPLAP.JPG,"Vila Nova da Constituição, autoria desconhecida. Planta demarcada pelo rio Piracicaba e pelo córrego do Itapeva, 1821. Reprodução: Acervo Arquivo do Estado de São Paulo. Fonte: Acervo Histórico da Câmara de Vereadores de Piracicaba",,,,,,,,
,2.1,Origens,Onde o peixe para,"O nome Piracicaba – do tupi, pirá (peixe), syk (parar) e aba (lugar) – é uma referência às quedas d´água do rio que bloqueiam a migração dos peixes, também chamada de piracema. 
A cidade foi denominada Piracicaba em 1877, após petição do então vereador Prudente de Moraes, mais tarde o primeiro presidente civil do Brasil.",04b_Rio Piracicaba- vista do Mirante. Acervo Museu Prudente de Moraes.jpg,"Autoria desconhecida. Cartão postal do salto do rio Piracicaba, à direita, antigo Mirante e Engenho Central, c. 1910. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,2.2,Origens,Autonomia administrativa,"Com a transformação em cidade, Piracicaba ganhou autonomia administrativa, separando-se das Vilas de Itu e Porto Feliz e implantando sua própria Câmara de Vereadores. O primeiro tributo estipulado pela municipalidade determinou que os proprietários de escravos pagassem o valor de 400 réis por escravo do sexo masculino maior de sete anos de idade.",04c_Camara_Municipal.jpg,"Autoria desconhecida. Cartão postal do Prédio da Câmara Municipal de Piracicaba em 1953. Fonte: Jornal A Província, 20/03/2013. Fonte: A primeira Câmara pós Proclamação da República - A Província - Paixão por Piracicaba (aprovincia.com.br)",,,,,,,,
,2.2.1,Origens,Pelourinho,"Como símbolo da autoridade civil e da independência administrativa de Piracicaba, foi instalado um pelourinho, coluna onde eram afixados avisos, convocações e editais e também onde criminosos e escravos eram expostos e castigados.
O pelourinho ficava na praça fronteiriça à igreja Matriz de Santo Antonio, hoje Praça José Bonifácio, onde mais tarde seria instalado o Teatro Santo Estevão. No seu entorno ficavam a Casa da Câmara e a Cadeia.",04d_Praca Jose Bonifacio 1.jpg,"Autoria desconhecida. Inauguração do sistema de água encanada no largo da Matriz (atual Praça José Bonifácio), 1887. Coleção M.H.P. Prudente de Moraes.",,,,,,,,
